Species,Weight,Length1,Length2,Length3,Height,Width
Whitefish,472.26,27.41,28.84,33.04,8.69,4.59
Roach,156.61,21.32,22.7,25.97,6.56,3.57
Smelt,10.1,11.86,12.69,12.97,2.2,1.29
Bream,599.29,30.7,32.78,37.59,14.58,5.48
Roach,150.53,20.09,21.16,24.22,6.69,3.67
Roach,146.03,21.06,21.58,24.97,6.9,3.42
Smelt,10.0,11.87,11.68,13.08,2.31,1.32
Parkki,156.37,17.64,20.08,23.9,8.53,3.29
Parkki,139.2,18.05,18.98,23.2,8.45,3.39
Pike,484.5,40.5,43.43,43.97,7.58,5.06
Whitefish,290.7,26.37,30.1,30.49,8.43,4.82
Roach,143.07,19.47,21.58,25.72,6.58,3.51
Smelt,9.6,11.52,12.08,13.47,2.18,1.34
Perch,211.09,25.46,25.01,27.5,7.27,5.02
Whitefish,472.26,25.86,29.12,32.72,8.6,5.12
Pike,494.7,39.61,44.72,47.31,7.34,4.72
Roach,148.97,20.71,23.36,24.72,6.51,3.66
Perch,404.99,24.25,27.47,31.54,7.69,4.83
Bream,599.29,30.91,32.45,39.5,15.4,5.64
Parkki,151.86,19.57,21.11,22.5,8.96,3.11
Whitefish,309.06,24.58,28.56,31.77,9.86,4.92
Roach,150.53,21.32,22.5,24.72,6.76,3.66
Bream,611.65,29.4,32.01,40.27,15.49,5.49
Bream,586.94,29.09,33.33,36.44,15.03,5.28
Bream,597.8,31.82,34.32,38.74,14.8,5.49
Bream,622.2,31.92,32.12,38.35,15.55,5.02
Roach,156.61,21.06,22.5,25.47,6.64,3.8
Pike,489.6,39.3,43.43,44.88,7.64,5.1
Whitefish,306.0,25.09,28.56,30.18,8.95,4.54
Smelt,9.4,10.73,12.39,13.34,2.16,1.31
Perch,393.42,25.46,29.17,29.13,6.71,4.73
Bream,579.5,29.4,33.44,38.5,14.58,5.32
Pike,510.0,39.3,43.86,46.26,7.0,4.77
Roach,159.65,21.06,21.61,25.47,6.19,3.75
Bream,634.4,30.91,32.67,38.35,15.25,5.17
Whitefish,315.18,25.82,27.72,30.18,8.43,4.68
Smelt,9.8,10.73,12.33,12.58,2.29,1.24
Pike,494.7,41.67,42.14,44.94,7.86,4.72
Smelt,11.18,11.07,12.27,12.58,2.36,1.26
Whitefish,290.7,26.88,29.81,31.77,9.96,4.63
Pike,530.4,38.09,44.72,46.72,7.29,4.75
Whitefish,458.37,25.86,27.16,31.11,8.6,5.12
Pike,728.56,41.3,43.28,45.89,7.36,4.82
Perch,389.56,27.18,27.35,30.34,6.78,4.97
Bream,599.29,29.18,34.65,36.44,14.21,5.28
Roach,149.01,21.47,21.14,24.97,6.25,3.78
Whitefish,472.26,27.95,26.6,31.45,9.76,4.45
Smelt,9.8,11.18,11.21,13.36,2.18,1.28
Whitefish,476.89,27.41,29.23,30.18,9.09,4.82
Perch,204.82,24.49,28.89,27.77,8.08,4.11
Parkki,157.87,17.82,21.53,23.66,8.79,2.98
Parkki,153.36,18.43,19.77,22.27,8.45,3.26
