Species,Weight,Length1,Length2,Length3,Height,Width
Roach,102.3,17.76,19.34,21.48,5.74,3.16
Bream,997.5,39.9,43.05,48.83,18.5,6.69
Roach,62.79,15.02,16.56,18.47,4.82,2.57
Parkki,272.0,30.4,33.12,37.12,15.03,5.46
Perch,153.0,20.91,22.95,24.48,6.93,3.7
Whitefish,540.0,28.5,31.0,34.0,10.74,6.56
Parkki,183.6,20.52,22.36,25.06,10.15,3.68
Smelt,9.48,11.77,12.32,13.73,2.16,1.4
Perch,660.0,23.4,25.2,26.76,7.68,4.12
Roach,256.0,32.8,36.0,40.48,11.25,6.11
Roach,212.0,23.43,24.91,28.41,7.84,4.37
Whitefish,54.45,13.37,14.55,16.34,6.78,2.3
Pike,1744.0,61.04,65.4,69.76,10.46,6.7
Parkki,8.26,10.5,11.76,12.32,2.96,1.97
Whitefish,315.18,26.37,28.84,31.72,9.04,4.82
Whitefish,264.6,23.62,25.97,28.71,7.98,4.16
Pike,327.0,35.64,38.15,42.29,6.47,4.78
Roach,217.5,30.75,33.0,36.45,9.95,5.32
Perch,163.2,20.64,22.56,24.0,6.02,3.58
Roach,96.0,14.88,16.0,17.76,4.97,2.86
Perch,240.0,33.6,36.8,39.2,8.35,5.8
Roach,216.0,23.87,25.38,28.94,7.99,4.46
Pike,1250.0,52.0,56.0,59.7,10.69,6.98
Smelt,15.86,15.73,16.9,17.94,2.96,1.63
Parkki,272.0,30.4,33.12,37.12,15.03,5.46
Smelt,9.8,10.7,11.2,12.4,2.08,1.28
Roach,0.0,18.81,20.29,22.57,6.41,3.32
Bream,333.2,23.42,25.97,30.48,12.13,4.6
Smelt,31.52,21.12,22.88,24.32,4.6,3.31
Pike,902.5,45.88,49.12,52.34,8.48,5.86
Parkki,121.2,17.68,19.19,21.51,8.48,2.95
Bream,684.0,30.4,33.25,38.57,15.54,5.79
Perch,511.52,29.44,31.74,33.58,9.44,5.88
Roach,72.0,11.64,12.6,14.22,3.67,1.98
Whitefish,293.76,24.58,26.88,29.57,8.43,4.49
Perch,327.0,37.5,39.75,42.0,10.75,6.22
Smelt,10.58,11.56,12.1,13.39,2.25,1.38
Perch,195.0,27.3,29.9,31.85,6.78,4.71
Roach,179.14,23.32,25.44,28.83,7.99,4.07
Bream,869.05,31.85,35.04,40.04,16.46,5.73
Perch,1034.0,37.69,40.42,42.77,11.76,6.97
Pike,592.8,52.0,55.25,59.15,9.46,5.62
Parkki,118.8,17.32,18.81,21.09,8.31,2.89
Roach,285.6,26.25,28.35,32.13,9.0,5.01
Pike,391.3,32.3,34.58,36.86,6.63,4.16
Parkki,6.2,7.88,8.82,9.24,2.22,1.48
Pike,746.9,43.46,46.56,49.66,7.45,5.21
Perch,123.75,18.81,20.79,22.27,5.64,3.63
Smelt,12.2,12.1,13.0,13.8,2.28,1.26
Parkki,294.84,24.84,27.0,30.24,11.98,4.48
Smelt,10.57,11.34,11.99,13.08,2.39,1.5
Roach,0.0,18.24,19.68,21.89,6.22,3.22
Pike,1520.0,77.28,82.72,88.16,14.28,9.87
Perch,150.0,20.5,22.5,24.0,6.79,3.62
Smelt,10.49,12.2,12.84,14.12,2.36,1.23
Smelt,13.53,11.82,12.52,13.63,2.45,1.28
Parkki,133.0,18.05,19.66,22.04,8.11,3.13
Perch,119.6,18.4,20.24,21.62,5.62,3.24
Perch,88.0,15.2,16.8,18.0,4.55,2.84
Pike,1699.5,60.77,65.3,70.04,11.14,7.7
Whitefish,296.82,24.83,27.16,29.88,8.51,4.54
Perch,94.5,14.0,15.4,16.45,4.11,2.47
Whitefish,60.5,14.85,16.17,18.15,7.53,2.56
Pike,902.5,45.88,49.12,52.34,8.48,5.86
Perch,852.8,38.58,41.6,44.2,11.58,6.9
Smelt,13.42,12.65,13.42,14.74,2.3,1.53
Pike,1565.5,56.56,60.6,64.64,9.7,6.21
Bream,363.0,26.3,29.0,33.5,12.73,4.46
Bream,404.2,24.91,27.26,31.96,11.7,4.83
Whitefish,53.35,13.09,14.26,16.0,6.64,2.26
Parkki,5.37,6.83,7.64,8.01,1.92,1.28
Smelt,6.37,9.19,9.65,10.56,1.57,1.05
Perch,763.0,37.06,39.24,41.75,11.56,7.35
Parkki,217.5,29.7,32.25,36.15,14.6,4.74
Smelt,29.55,19.8,21.45,22.8,4.31,3.1
Pike,1744.0,61.04,65.4,69.76,10.46,6.7
Parkki,186.0,19.72,21.39,23.99,9.62,3.41
Bream,544.0,38.24,42.4,49.76,19.8,7.51
Smelt,12.93,12.19,12.93,14.2,2.22,1.48
Parkki,147.0,19.95,21.73,24.36,8.96,3.46
Pike,318.0,34.66,37.1,41.13,6.29,4.65
Smelt,29.85,20.7,22.5,24.3,4.4,2.82
Whitefish,291.6,26.03,28.62,31.64,8.8,4.59
Bream,706.86,32.37,35.64,41.09,16.35,5.79
Pike,1441.5,52.08,55.8,59.52,8.93,5.71
Smelt,9.9,11.19,11.68,12.97,2.19,1.27
Pike,424.08,37.2,39.52,42.32,6.77,4.02
Roach,122.4,18.97,20.4,22.64,6.34,3.65
Bream,643.9,29.52,31.96,36.85,15.03,5.05
Bream,494.0,29.54,32.24,37.65,14.83,5.31
Perch,297.0,24.95,27.03,28.41,8.24,5.09
Smelt,13.42,12.65,13.42,14.74,2.3,1.53
Pike,650.0,54.6,58.5,62.4,9.05,6.36
Bream,806.0,40.95,44.85,51.61,20.18,6.86
Bream,632.4,32.13,35.19,40.49,15.83,5.39
Roach,71.76,16.1,17.3,19.5,5.13,2.67
Parkki,5.78,7.35,8.23,8.62,2.07,1.38
