v1,v2,v3,v4,v5,target
48.38,48.4,48.38,48.41,48.46,48.4
173.0,174.5,174.0,172.25,176.75,177.5
273.75,272.3,272.55,272.7,273.35,272.55
453.95,454.9,452.4,450.9,450.6,453.75
1232.7,1221.02,1225.9,1219.0,1231.19,1237.2
390.39,397.35,400.13,400.4,398.66,399.33
225.5,223.15,218.6,226.8,220.65,220.5
694.3,681.6,681.0,671.8,673.05,665.65
152.8,150.4,152.0,150.05,148.9,147.5
384.2,383.3,386.3,382.7,387.6,388.4
925.65,917.9,918.45,923.8,934.62,934.9
65.45,65.5,65.0,64.9,65.1,65.2
1257.4,1256.97,1255.2,1242.26,1253.09,1248.71
880.5,882.77,872.25,891.9,907.82,925.65
402.6,398.4,411.5,404.3,389.35,383.6
341.7,338.3,333.7,334.2,333.0,334.2
1262.0,1257.81,1258.77,1269.28,1263.04,1267.69
1735.64,1712.6,1697.5,1683.86,1712.2,1700.71
1341.7,1332.8,1325.04,1321.22,1307.37,1308.91
314.1,306.1,307.8,307.1,304.35,303.3
1280.98,1276.67,1281.03,1276.64,1291.74,1295.67
915.5,941.5,943.1,928.42,925.3,924.6
385.5,385.3,385.9,386.75,386.25,387.6
457.6,458.0,459.5,455.5,456.1,456.35
280.0,280.0,281.9,283.4,283.3,283.0
451.5,436.75,439.0,436.5,439.5,436.5
40.23,39.95,40.0,39.9,39.88,39.67
1315.83,1315.18,1312.91,1305.96,1305.53,1315.2
1279.36,1289.07,1286.69,1275.91,1262.0,1257.81
1465.11,1474.7,1464.0,1461.2,1460.12,1476.04
1222.31,1225.03,1226.88,1217.87,1221.28,1194.2
144.25,144.5,146.5,149.75,150.0,153.75
289.4,289.5,291.8,291.3,290.4,289.5
1360.53,1359.52,1375.93,1386.44,1381.69,1374.88
1211.72,1210.8,1203.0,1192.8,1175.15,1181.85
272.7,271.9,271.8,270.4,272.8,274.1
362.9,363.0,366.2,366.0,365.5,366.5
402.5,414.5,411.5,409.5,409.5,399.25
330.0,328.3,329.18,325.8,332.0,335.8
1346.54,1333.16,1340.04,1315.92,1315.31,1320.26
1219.74,1224.14,1227.14,1248.93,1252.19,1254.55
172.0,170.0,169.9,172.25,173.5,173.25
802.7,793.97,802.0,792.4,781.4,794.65
80.0,82.5,82.88,83.75,82.5,83.0
1703.87,1699.69,1693.76,1697.31,1714.66,1725.33
1567.07,1594.07,1591.98,1574.55,1542.55,1542.63
1214.04,1211.14,1203.12,1202.29,1209.97,1223.18
362.2,366.2,366.4,365.9,366.25,364.9
324.5,324.3,325.9,325.0,329.3,325.7
407.75,410.6,402.6,398.4,411.5,404.3
899.84,904.29,899.4,855.7,851.9,853.97
37.67,37.62,37.62,37.62,37.56,37.62
202.2,203.25,205.1,200.25,201.3,194.05
349.75,352.3,351.05,352.0,348.1,347.2
1193.43,1182.29,1196.71,1186.48,1188.66,1162.28
164.0,167.5,171.9,172.5,173.1,174.0
368.75,367.75,369.1,373.25,368.5,367.75
1319.05,1311.69,1324.37,1315.3,1256.75,1266.1
