Date,Rates
30 Sep 2020,1892.62
29 Sep 2020,1896.80
28 Sep 2020,1882.46
25 Sep 2020,1861.33
24 Sep 2020,1867.99
23 Sep 2020,1855.03
22 Sep 2020,1904.40
21 Sep 2020,1917.23
18 Sep 2020,1950.39
17 Sep 2020,1947.17
16 Sep 2020,1959.86
15 Sep 2020,1953.92
14 Sep 2020,1957.40
11 Sep 2020,1940.43
10 Sep 2020,1943.98
09 Sep 2020,1947.44
08 Sep 2020,1930.53
07 Sep 2020,1930.84
04 Sep 2020,1933.52
03 Sep 2020,1927.43
02 Sep 2020,1944.84
01 Sep 2020,1972.58
31 Aug 2020,1967.80
28 Aug 2020,1964.77
27 Aug 2020,1928.18
26 Aug 2020,1953.67
25 Aug 2020,1929.80
24 Aug 2020,1930.15
21 Aug 2020,1940.90
20 Aug 2020,1952.50
19 Aug 2020,1927.55
18 Aug 2020,2005.40
17 Aug 2020,1983.73
14 Aug 2020,1944.27
13 Aug 2020,1957.49
12 Aug 2020,1922.09
11 Aug 2020,1909.30
10 Aug 2020,2028.38
07 Aug 2020,2035.21
06 Aug 2020,2069.29
05 Aug 2020,2036.82
04 Aug 2020,2031.00
03 Aug 2020,1975.60
31 Jul 2020,1975.69
30 Jul 2020,1957.07
29 Jul 2020,1966.50
28 Jul 2020,1956.07
27 Jul 2020,1965.50
24 Jul 2020,1901.60
23 Jul 2020,1885.69
22 Jul 2020,1870.20
21 Jul 2020,1843.03
20 Jul 2020,1818.26
17 Jul 2020,1810.01
16 Jul 2020,1798.45
15 Jul 2020,1813.16
14 Jul 2020,1809.60
13 Jul 2020,1802.60
10 Jul 2020,1799.21
09 Jul 2020,1804.10
08 Jul 2020,1809.16
07 Jul 2020,1794.54
06 Jul 2020,1785.90
03 Jul 2020,1775.30
02 Jul 2020,1775.78
01 Jul 2020,1768.44
30 Jun 2020,1783.40
29 Jun 2020,1773.09
26 Jun 2020,1771.23
25 Jun 2020,1765.88
24 Jun 2020,1762.22
23 Jun 2020,1769.07
22 Jun 2020,1755.52
19 Jun 2020,1743.48
18 Jun 2020,1723.57
17 Jun 2020,1727.82
16 Jun 2020,1726.65
15 Jun 2020,1723.90
12 Jun 2020,1730.26
11 Jun 2020,1726.77
10 Jun 2020,1735.64
09 Jun 2020,1712.60
08 Jun 2020,1697.50
05 Jun 2020,1683.86
04 Jun 2020,1712.20
03 Jun 2020,1700.71
02 Jun 2020,1726.96
01 Jun 2020,1741.90
29 May 2020,1729.92
28 May 2020,1722.06
27 May 2020,1711.01
26 May 2020,1712.87
25 May 2020,1727.02
22 May 2020,1736.22
21 May 2020,1726.34
20 May 2020,1747.40
19 May 2020,1746.20
18 May 2020,1735.05
15 May 2020,1742.33
14 May 2020,1732.87
13 May 2020,1718.81
12 May 2020,1702.65
11 May 2020,1698.01
08 May 2020,1702.22
07 May 2020,1714.50
06 May 2020,1690.12
05 May 2020,1704.05
04 May 2020,1703.90
01 May 2020,1700.40
30 Apr 2020,1688.23
29 Apr 2020,1714.20
28 Apr 2020,1704.50
27 Apr 2020,1709.65
24 Apr 2020,1729.05
23 Apr 2020,1728.67
22 Apr 2020,1711.74
21 Apr 2020,1687.85
20 Apr 2020,1691.11
17 Apr 2020,1684.75
16 Apr 2020,1715.50
15 Apr 2020,1716.00
14 Apr 2020,1726.40
13 Apr 2020,1717.72
10 Apr 2020,1688.78
09 Apr 2020,1683.80
08 Apr 2020,1647.59
07 Apr 2020,1648.53
06 Apr 2020,1663.51
03 Apr 2020,1618.13
02 Apr 2020,1613.16
01 Apr 2020,1592.12
31 Mar 2020,1578.93
30 Mar 2020,1616.70
27 Mar 2020,1627.56
26 Mar 2020,1626.32
25 Mar 2020,1611.15
24 Mar 2020,1634.40
23 Mar 2020,1567.03
20 Mar 2020,1498.39
19 Mar 2020,1471.47
18 Mar 2020,1498.75
17 Mar 2020,1537.79
16 Mar 2020,1507.20
13 Mar 2020,1529.29
12 Mar 2020,1576.95
11 Mar 2020,1643.42
10 Mar 2020,1652.50
09 Mar 2020,1666.61
06 Mar 2020,1674.52
05 Mar 2020,1674.67
04 Mar 2020,1636.48
03 Mar 2020,1645.88
02 Mar 2020,1592.23
28 Feb 2020,1586.46
27 Feb 2020,1645.57
26 Feb 2020,1643.74
25 Feb 2020,1640.23
24 Feb 2020,1653.80
21 Feb 2020,1643.62
20 Feb 2020,1622.30
19 Feb 2020,1610.51
18 Feb 2020,1600.97
17 Feb 2020,1584.23
14 Feb 2020,1583.89
13 Feb 2020,1577.48
12 Feb 2020,1570.28
11 Feb 2020,1567.20
10 Feb 2020,1572.06
07 Feb 2020,1570.41
06 Feb 2020,1565.89
05 Feb 2020,1556.10
04 Feb 2020,1554.04
03 Feb 2020,1578.96
31 Jan 2020,1589.40
30 Jan 2020,1575.21
29 Jan 2020,1577.20
28 Jan 2020,1568.59
27 Jan 2020,1581.17
24 Jan 2020,1571.56
23 Jan 2020,1561.04
22 Jan 2020,1561.45
21 Jan 2020,1556.56
20 Jan 2020,1561.31
17 Jan 2020,1557.30
16 Jan 2020,1552.27
15 Jan 2020,1556.35
14 Jan 2020,1549.60
13 Jan 2020,1545.44
10 Jan 2020,1562.05
09 Jan 2020,1552.72
08 Jan 2020,1557.89
07 Jan 2020,1595.24
06 Jan 2020,1563.83
03 Jan 2020,1552.24
02 Jan 2020,1528.95
31 Dec 2019,1517.24
30 Dec 2019,1515.02
27 Dec 2019,1511.08
26 Dec 2019,1511.16
25 Dec 2019,1499.55
24 Dec 2019,1498.18
23 Dec 2019,1485.56
20 Dec 2019,1478.15
19 Dec 2019,1478.50
18 Dec 2019,1475.84
17 Dec 2019,1475.70
16 Dec 2019,1475.41
13 Dec 2019,1475.64
12 Dec 2019,1465.11
11 Dec 2019,1474.70
10 Dec 2019,1464.00
09 Dec 2019,1461.20
06 Dec 2019,1460.12
05 Dec 2019,1476.04
04 Dec 2019,1475.62
03 Dec 2019,1476.83
02 Dec 2019,1462.75
29 Nov 2019,1463.96
28 Nov 2019,1456.15
27 Nov 2019,1457.10
26 Nov 2019,1460.66
25 Nov 2019,1453.90
22 Nov 2019,1462.36
21 Nov 2019,1465.23
20 Nov 2019,1474.52
19 Nov 2019,1474.50
18 Nov 2019,1471.83
15 Nov 2019,1468.00
14 Nov 2019,1469.30
13 Nov 2019,1463.65
12 Nov 2019,1458.49
11 Nov 2019,1455.72
08 Nov 2019,1458.70
07 Nov 2019,1468.79
06 Nov 2019,1490.34
05 Nov 2019,1484.31
04 Nov 2019,1506.80
01 Nov 2019,1513.90
31 Oct 2019,1512.25
30 Oct 2019,1495.37
29 Oct 2019,1487.39
28 Oct 2019,1491.81
25 Oct 2019,1504.44
24 Oct 2019,1502.81
23 Oct 2019,1492.21
22 Oct 2019,1488.91
21 Oct 2019,1484.23
18 Oct 2019,1490.25
17 Oct 2019,1492.89
16 Oct 2019,1490.13
15 Oct 2019,1482.00
14 Oct 2019,1491.34
11 Oct 2019,1489.80
10 Oct 2019,1494.10
09 Oct 2019,1514.59
08 Oct 2019,1508.80
07 Oct 2019,1492.11
04 Oct 2019,1504.81
03 Oct 2019,1508.40
02 Oct 2019,1500.11
01 Oct 2019,1481.82
30 Sep 2019,1473.72
27 Sep 2019,1496.93
26 Sep 2019,1506.85
25 Sep 2019,1506.52
24 Sep 2019,1531.80
23 Sep 2019,1520.93
20 Sep 2019,1517.10
19 Sep 2019,1499.80
18 Sep 2019,1491.20
17 Sep 2019,1500.85
16 Sep 2019,1497.90
13 Sep 2019,1483.20
12 Sep 2019,1497.95
11 Sep 2019,1493.20
10 Sep 2019,1487.20
09 Sep 2019,1496.47
06 Sep 2019,1507.09
05 Sep 2019,1518.44
04 Sep 2019,1551.40
03 Sep 2019,1549.31
02 Sep 2019,1526.36
30 Aug 2019,1520.51
29 Aug 2019,1528.79
28 Aug 2019,1538.90
27 Aug 2019,1543.44
26 Aug 2019,1528.68
23 Aug 2019,1481.10
22 Aug 2019,1497.58
21 Aug 2019,1502.69
